FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR,AverageDraftPositionIDP,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,is_drafted,draft_order,my_team
22502,22502,Desmond Ridder,ATL,QB,374.4,469.8,11.0,65.9,310.2,3,0,,,,234.4,0,,False
22546,22546,Rhamondre Stevenson,NE,RB,40.8,40.8,11.0,306.5,304.8,49,49,,,45.1,52.4,0,,False
16906,16906,Stefon Diggs,BUF,WR,17.0,17.0,13.0,355.0,304.2,70,73,,,31.3,29.1,0,,False
22526,22526,Breece Hall,NYJ,RB,47.7,54.5,7.0,163.6,304.1,49,48,,,15.9,49.0,0,,False
21042,21042,A.J. Brown,PHI,WR,22.1,20.4,10.0,360.1,303.3,71,70,,,13.3,37.3,0,,False
21768,21768,Najee Harris,PIT,RB,46.0,47.7,6.0,310.5,301.3,44,43,,,51.9,41.5,0,,False
18858,18858,Joe Mixon,CIN,RB,66.4,57.9,7.0,305.5,296.1,43,41,,,92.1,49.4,0,,False
21696,21696,Travis Etienne Jr.,JAX,RB,44.3,52.8,9.0,289.5,295.3,46,43,,,21.3,44.1,0,,False
16470,16470,Davante Adams,LV,WR,25.5,22.1,13.0,400.8,294.1,73,75,,,50.9,29.8,0,,False
23214,23214,Kenneth Walker III,SEA,RB,56.2,71.5,5.0,298.7,292.8,39,29,,,18.2,63.7,0,,False
21679,21679,CeeDee Lamb,DAL,WR,27.2,18.7,7.0,331.2,291.1,71,75,,,,31.8,0,,False
19045,19045,Aaron Jones,GB,RB,63.0,68.1,6.0,322.7,288.0,37,36,,,96.5,65.5,0,,False
23223,23223,Dameon Pierce,HOU,RB,74.9,83.4,7.0,232.2,287.6,37,36,,,87.8,83.2,0,,False
15048,15048,Travis Kelce,KC,TE,14.5,11.9,10.0,351.1,286.0,94,92,,,38.8,14.3,0,,False
20868,20868,Alexander Mattison,MIN,RB,132.8,103.8,13.0,124.9,284.2,27,26,,,184.8,163.2,0,,False
20933,20933,Miles Sanders,CAR,RB,93.6,85.1,7.0,334.8,280.7,29,27,,,105.4,116.6,0,,False
21674,21674,J.K. Dobbins,BAL,RB,80.0,97.0,13.0,126.3,278.8,27,26,,,73.4,92.8,0,,False
19790,19790,Baker Mayfield,TB,QB,398.3,432.3,5.0,206.7,274.3,3,0,,,,234.0,0,,False
21688,21688,Cam Akers,LAR,RB,90.2,98.7,10.0,218.4,273.4,24,20,,,113.0,95.8,0,,False
23200,23200,Jahmyr Gibbs,DET,RB,98.7,64.7,9.0,0.0,270.7,29,29,,5.8,64.5,,0,,False
18983,18983,James Conner,ARI,RB,115.7,108.9,14.0,262.4,266.6,20,20,,,153.9,91.6,0,,False
22598,22598,Jaylen Waddle,MIA,WR,37.4,39.1,10.0,313.5,264.1,53,54,,,12.6,50.0,0,,False
20882,20882,David Montgomery,DET,RB,119.1,136.2,9.0,244.6,261.4,17,17,,,119.8,74.7,0,,False
23371,23371,Isiah Pacheco,KC,RB,110.6,129.4,10.0,207.6,259.5,20,17,,,129.2,145.2,0,,False
22587,22587,Amon-Ra St. Brown,DET,WR,34.0,25.5,9.0,275.0,257.0,53,61,,,19.9,43.1,0,,False
23122,23122,Garrett Wilson,NYJ,WR,39.1,28.9,7.0,225.9,253.5,54,56,,,15.7,68.9,0,,False
23217,23217,Rachaad White,TB,RB,129.4,105.5,5.0,151.6,250.2,20,24,,,111.5,116.1,0,,False
21690,21690,Tee Higgins,CIN,WR,52.8,49.4,7.0,250.0,249.5,43,46,,,28.1,57.7,0,,False
22565,22565,Chris Olave,NO,WR,51.1,46.0,11.0,214.8,247.7,41,44,,,22.6,89.9,0,,False
22558,22558,Javonte Williams,DEN,RB,112.3,125.9,9.0,44.3,245.9,12,12,,,48.0,81.0,0,,False
20932,20932,Deebo Samuel,SF,WR,59.6,59.6,9.0,191.3,245.3,44,41,,,63.3,62.5,0,,False
16765,16765,Amari Cooper,CLE,WR,61.3,63.0,5.0,285.9,244.6,37,39,,,107.6,86.0,0,,False
21687,21687,DeVonta Smith,PHI,WR,49.4,44.3,10.0,271.6,242.4,39,46,,,38.1,87.0,0,,False
23247,23247,James Cook,BUF,RB,134.5,137.9,13.0,144.2,239.1,12,10,,,129.0,141.6,0,,False
20875,20875,DK Metcalf,SEA,WR,57.9,56.2,5.0,232.8,238.4,43,44,,,35.6,69.1,0,,False
23395,23395,Christian Watson,GB,WR,97.0,91.9,6.0,209.5,232.2,32,32,,,64.3,162.7,0,,False
21802,21802,AJ Dillon,GB,RB,148.1,149.8,6.0,237.6,231.7,12,10,,,135.6,132.9,0,,False
18878,18878,Alvin Kamara,NO,RB,124.2,122.5,11.0,263.3,230.2,14,17,,,126.5,110.3,0,,False
19802,19802,Calvin Ridley,JAX,WR,69.8,66.4,9.0,68.3,228.7,34,36,,,103.0,179.2,0,,False
18914,18914,Mike Williams,LAC,WR,103.8,102.1,5.0,193.2,228.1,29,29,,,127.8,114.5,0,,False
21692,21692,Jerry Jeudy,DEN,WR,95.3,86.8,9.0,233.5,227.9,36,36,,,73.2,126.6,0,,False
15076,15076,Keenan Allen,LAC,WR,73.2,69.8,5.0,166.8,224.2,27,37,,,137.2,67.7,0,,False
21684,21684,D'Andre Swift,PHI,RB,91.9,107.2,10.0,243.6,223.9,10,10,,,66.4,78.3,0,,False
23190,23190,Brian Robinson,WAS,RB,144.7,161.7,14.0,176.5,223.4,12,14,,,141.9,159.5,0,,False
19803,19803,Mark Andrews,BAL,TE,54.5,51.1,13.0,200.0,223.2,41,41,,,24.8,39.0,0,,False
16830,16830,Tyler Lockett,SEA,WR,114.0,115.7,5.0,260.9,221.5,22,24,,,150.6,127.6,0,,False
16597,16597,Mike Evans,TB,WR,127.6,131.1,5.0,252.6,221.4,26,27,,,135.1,108.2,0,,False
14986,14986,DeAndre Hopkins,TEN,WR,85.1,78.3,7.0,149.3,219.5,24,27,,,120.8,111.3,0,,False
20873,20873,Terry McLaurin,WAS,WR,81.7,81.7,14.0,258.7,218.8,27,29,,,82.0,111.8,0,,False
19799,19799,Rashaad Penny,PHI,RB,171.9,182.1,10.0,82.0,217.3,12,9,,,188.8,140.4,0,,False
19844,19844,DJ Moore,CHI,WR,86.8,88.5,13.0,231.6,216.2,27,26,,,62.5,93.8,0,,False
